Abogados;2611;1;0,522%
Acarreadores de agua y recolectores de leña;9624;3;2,436%
Acompañantes de personas no incluidos en otros grupos primarios;5162;1;0,522%
Actores;2655;2;1,044%
Actuarios y Estadísticos;2120;2;1,044%
Administrador de sistemas, redes, equipos informáticos, consultor de tecnología, analista de infraestructura y sistemas.;2522;1;0,522%
Agente de seguros;3321;1;0,522%
Agente de viajes;1439;2;1,044%
Agricultores y trabajadores calificados de cultivos mixtos;6114;2;1,044%
Agricultores y trabajadores calificados para plantaciones de arboles y arbustos (podador y recolector);6112;4;4,350%
Agricultores y trabajadores de cultivos intensivos;6111;3;2,436%
Agricultores y trabajadores de huertas invernaderos viveros y jardines;6113;2;1,044%
Agricultores y trabajadores de plantaciones de árboles y arbustos;6112;3;2,436%
Agrónomos Silvicultores Zootecnistas y afines;2132;2;1,044%
Ajustadores de electricistas incluye reparación de aparatos de uso domestico;7412;3;2,436%
Ajustadores e instaladores en electrónica;7421;3;2,436%
Ajustadores y operadores de máquinas de herramientas;7223;3;2,436%
Ajustadores y operadores de máquinas para trabajar madera;7523;3;2,436%
Albañiles;7112;5;6,960%
Alfareros y ceramistas;7314;2;1,044%
Analista de gestión y organización, auditor de calidad.;2421;1;0,522%
Analista de sistemas;2511;1;0,522%
Analistas financieros;2413;1;0,522%
Aparejadores y espalmadores de cables;7215;3;2,436%
Apelambradores, pellejeros y curtidores  en tratamiento de pieles y pelos de animales;7535;4;4,350%
Arquitectos constructores;2161;5;6,960%
Arquitectos paisajistas;2162;2;1,044%
Artesanos de otros materiales no clasificados en otros grupos primarios ( tela, parafina, jabon, cuerno, cera, etc);7399;3;2,436%
Artesanos de semillas y cortezas vegetales;7393;3;2,436%
Artesanos del cuero;7370;2;1,044%
Artesanos del hierro y otros metales;7392;3;2,436%
Artesanos del papel;7391;2;1,044%
Artistas creativos interpretativos no clasificados en otros grupos primarios (payasos magos y otros artistas no clasificados);2659;2;1,044%
Artistas creativos interpretativos no clasificados en otros grupos primarios incluye (Acróbata, equilibrista, trapecista, torero y otras ocupaciones relacionada con espectáculos públicos en actividades extremas);2659;5;6,960%
Asesores financieros  de inversiones;2412;1;0,522%
Asistente médicos ( asistente clínico, oftálmico, técnicos de transfusiones);3256;3;2,436%
Astrólogos, adivinos y trabajadores afines;5161;1;0,522%
Atletas y deportistas;3421;2;1,044%
Atletas y Deportistas  (Deporte extremo );3421;5;6,960%
Autores y otros escritores;2641;2;1,044%
Auxiliar contable, financiero y cálculo de costos.;4311;1;0,522%
Auxiliares de maestros;5312;1;0,522%
Auxiliares de nóminas;4313;1;0,522%
Auxiliares de servicios estadísticos, financieros y de seguros;4312;1;0,522%
Auxiliares laicos de las religiones;3413;1;0,522%
Avicultores y trabajadores calificados de la avicultura;6122;3;2,436%
Avicultores y trabajadores calificados de la avicultura, incluye aves de corral;6122;2;1,044%
Ayudante de cocina;9412;3;2,436%
Ayudante de elaboración e alimentos y bebidas;9329;3;2,436%
Bármanes;5132;2;1,044%
Barnizadores y afines;7132;4;4,350%
Barrenderos y afines;9613;S;8,700%
Biólogo, epidemiólogo, botánico, zoólogo y afines;2131;3;2,436%
Bisutero;7363;3;2,436%
Bomberos y rescatistas;5411;5;6,960%
Bracero, coteros , estibadores de embarcaciones aéreas, marítimas y/o fluviales;9333;S;8,700%
Buzos;7541;5;6,960%
Cajeros de oficinas de correo, cobro y pago de dinero.;4211;1;0,522%
Camarógrafo, fotógrafo , operador equipos de grabación de sonido;3431;3;2,436%
Carniceros pescaderos y afines;7511;2;1,044%
Carpinteros de armar y de obra blanca;7115;3;2,436%
Cartógrafos y topógrafos;2165;2;1,044%
Catadores y clasificadores de alimentos y bebidas;7515;1;0,522%
Cazadores y tramperos;6224;4;4,350%
Cestero mimbreras;7341;2;1,044%
Chapistas caldereros horneros- exposición altas temperaturas;7213;5;6,960%
Chapistas y caldereros;7213;3;2,436%
Chef de cocina;3434;3;2,436%
Clasificadores de desechos;9212;S;8,700%
Cobradores y afines;4214;2;1,044%
Cocineros, Parrillero asador de carnes;5120;3;2,436%
Codificadores de datos correctores de pruebas de imprenta y afines;4413;2;1,044%
Comerciantes al por mayor y al por menor;1420;2;1,044%
Compositores músicos y cantantes;2652;2;1,044%
Conductores de buses microbuses y tranvías;8331;4;4,350%
Conductores de camiones y vehículos pesados;8332;4;4,350%
Conductores de camionetas y vehículos livianos;8323;4;4,350%
Conductores de motocicletas;8321;4;4,350%
Conductores de taxis;8324;4;4,350%
Conductores de vehículos accionado a pedal o a brazo;9331;4;4,350%
Constructores de Casas;7111;5;6,960%
Contadores, Auditores financieros, revisor fiscal y auditor contable.;2411;1;0,522%
Controlador de tráfico aéreo y marítimo;3154;5;6,960%
Controladores administrativos de tráfico aéreo;4323;5;6,960%
Controladores de instalaciones de procesamiento de productos químicos, filtración y separación de sustancia químicas, procesos químicos.;3133;5;6,960%
Controladores de procesos de producción de metales;3135;4;4,350%
Coreógrafos y bailarines;2653;2;1,044%
Costureros bordadores y afines;7533;2;1,044%
Criadores de ganado y de la cría de animales domésticos , excepto aves de corral;6121;2;1,044%
Criadores y trabajadores calificados de la apicultura y la sericultura;6123;2;1,044%
Criadores y trabajadores pecuarios calificados, avicultores y criadores de insectos no clasificados en otros grupos primarios;6129;2;1,044%
Cristaleras;7125;5;6,960%
Cuidadores de animales domésticos;5164;1;0,522%
Cuidadores de niños, cuidadores de personas y hogar;5311;1;0,522%
Decoradores de piezas artesanales de madera;7352;1;0,522%
Decoradores de piezas artesanales de madera;7352;3;2,436%
Delineante de arquitectura, dibujante técnico, con intervención directa en obras;3118;5;6,960%
Delineante y dibujantes técnicos .;3118;2;1,044%
Desarrolladores de software;2512;1;0,522%
Desarrolladores de web y multimedia;2513;1;0,522%
Detective privado;3355;5;6,960%
Dietista y nutricionista;2265;3;2,436%
